reason,uuid,survivor_uuid,kind,net_code,net,layer_or_span,width_or_size_mm,start_or_position_mm,end_mm,drill_mm,locked
exact_duplicate,1f7ef100-4628-41a2-9efe-85c4f07e8674,0368822a-62c3-4d13-ac86-62aaf7f1615d,segment,87,INJECTOR_1,In1.Cu,2.0,"[31.9, 120.3]","[31.8, 120.4]",,False
exact_duplicate,2311cc1e-9d81-48ac-9192-2ceed62e18eb,0d959c0e-99db-4995-aa1f-ed8c23a6faf4,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[66.5, 15.9]","[67.9, 15.9]",,False
exact_duplicate,26165238-2588-44a8-b551-e20628e37ee5,1166b008-c12c-4da4-ae38-27a50df2648d,segment,176,VCC_5,B.Cu,0.6,"[76.8, 106.9]","[76.9, 107.0]",,False
exact_duplicate,2a1a9b8a-d3c2-493e-aefe-58a18838e0dd,24c7b8d1-beaf-4c34-b62d-d553809832f8,segment,94,INJECTOR_8,In3.Cu,2.0,"[49.6, 65.8]","[49.7, 65.7]",,False
exact_duplicate,2a20b707-bfde-4955-aeae-b2354257dfa2,2374bfed-2782-450d-88b1-8833cfbb8d3e,segment,116,MIL,In2.Cu,1.2,"[24.1, 148.5]","[24.0, 148.4]",,False
exact_duplicate,2d944e40-e1ff-4a45-be3d-16b9ca92b5ac,1135dda9-a384-4641-8cc6-be3c088fd12b,segment,83,IAC,F.Cu,1.2,"[37.9, 38.3]","[38.0, 38.3]",,False
exact_duplicate,34829662-dede-4694-b6ef-6ac7a77c8399,1a176261-797e-4b86-b7e7-3d63a9b8ecef,segment,178,VPWR,In1.Cu,4.0,"[99.1, 24.7]","[100.7, 24.7]",,False
exact_duplicate,36b08051-635a-432a-bafb-1e5be1c566c8,08c7f660-383c-4ae0-9fe8-d5d32e3f71ce,segment,94,INJECTOR_8,In3.Cu,2.0,"[41.9, 79.8]","[42.0, 79.7]",,False
exact_duplicate,37dfa1ac-71c2-4b35-90e4-b0babe869472,1bf37862-f97f-4b5e-8917-7d522669970e,segment,88,INJECTOR_2,In4.Cu,2.0,"[108.5, 27.1]","[108.5, 27.2]",,False
exact_duplicate,3cd92f87-0ee8-4f33-9516-8c3bbc14dd47,163d80df-830e-4637-84e7-e3905e6acb95,segment,87,INJECTOR_1,In1.Cu,2.0,"[32.1, 128.0]","[32.1, 127.9]",,False
exact_duplicate,3f5d1ca4-b887-4419-b35e-f0a361ebf1ae,07df2e7b-3d96-4a50-a2ca-6e004988ccba,segment,66,DGND,F.Cu,0.6,"[88.7, 39.0]","[88.7, 39.1]",,False
exact_duplicate,401dcaca-04ec-4c5c-8beb-e4ee64e4c439,27582c96-108e-447a-b5b8-2906f9712937,segment,170,TRANS_EPC,B.Cu,1.2,"[77.0, 40.9]","[76.9, 40.9]",,False
exact_duplicate,40542f7b-c160-41d7-bc0a-7a2ff21a9760,0705420e-77d0-485c-9796-d659ac1f98fb,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[68.6, 15.6]","[68.7, 15.6]",,False
exact_duplicate,4343f313-afff-4dc3-9498-85bf8bb2fbdf,37bc74c6-8b07-45cf-878f-255cebcfaa73,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[68.3, 15.7]","[68.5, 15.7]",,False
exact_duplicate,43c90c0f-9e80-481a-bef6-72e44d49c759,0aad28ff-31a2-4098-85b9-d56efb4a6f1d,segment,83,IAC,F.Cu,1.2,"[39.1, 37.1]","[39.1, 37.0]",,False
exact_duplicate,43dd9e8a-a98f-451c-a745-1490e3249770,424873e3-47ae-4fce-9fac-ab812c885d74,segment,87,INJECTOR_1,In1.Cu,2.0,"[33.0, 129.0]","[33.1, 129.0]",,False
exact_duplicate,45d95ec4-9b9b-4f5a-a030-dcc0bf1706bc,402c8eed-fac4-4308-ae1a-2a62eb8454db,segment,170,TRANS_EPC,B.Cu,1.2,"[76.7, 41.0]","[76.6, 41.1]",,False
exact_duplicate,467b7a4b-cbe9-4f82-b249-a4d10f46f996,2ca5fbf7-e7d4-4d0e-a894-ece076441dbb,segment,170,TRANS_EPC,B.Cu,1.2,"[77.2, 40.8]","[77.1, 40.8]",,False
exact_duplicate,471f4e4f-1ba0-42f8-a413-51732a49053b,05bf7ecc-6de1-4283-97d7-0622780429b9,segment,88,INJECTOR_2,In4.Cu,2.0,"[108.6, 27.0]","[108.5, 27.1]",,False
