finding,x1_mm,y1_mm,item1,x2_mm,y2_mm,item2
1,53.2000,65.7000,Via [ACTUATOR_12] on F.Cu - B.Cu,30.4000,46.9000,"Track [ACTUATOR_12] on In2.Cu, length 0.4243 mm"
2,36.2000,35.9000,"Track [ACTUATOR_12] on F.Cu, length 0.0566 mm",82.1700,27.9480,"Track [ACTUATOR_12] on F.Cu, length 0.0566 mm"
3,90.5650,5.3000,PTH pad 69 [AC_WOT_CUTOUT] of J1,47.8000,122.4000,"Track [AC_WOT_CUTOUT] on B.Cu, length 0.8485 mm"
4,110.9000,138.3000,"Track [CKP_PLUS] on F.Cu, length 0.1000 mm",104.1650,11.2000,PTH pad 21 [CKP_PLUS] of J1
5,77.4000,21.7000,"Track [COIL_2] on B.Cu, length 0.8485 mm",40.6000,44.0000,"Track [COIL_2] on In2.Cu, length 0.8485 mm"
6,34.8750,150.7180,PTH pad 2 [COIL_3] of Q15,121.1650,5.3000,PTH pad 78 [COIL_3] of J1
7,102.2000,39.4000,"Track [COIL_4] on B.Cu, length 0.8485 mm",109.7000,29.7000,"Track [COIL_4] on In2.Cu, length 1.8000 mm"
8,106.7000,143.9000,"Track [DGND] on B.Cu, length 0.2000 mm",107.6000,143.0000,"Track [DGND] on In1.Cu, length 1.2728 mm"
9,99.0650,8.2500,PTH pad 45 [FAN_CONTROL] of J1,25.9500,110.6050,"Track [FAN_CONTROL] on F.Cu, length 3.0500 mm"
10,46.8000,39.5000,"Track [FUEL_PUMP_CONTROL] on F.Cu, length 1.6971 mm",57.8000,43.7000,"Track [FUEL_PUMP_CONTROL] on F.Cu, length 7.8000 mm"
11,27.6000,26.6050,"Track [FUEL_PUMP_CONTROL] on F.Cu, length 3.0500 mm",24.8650,2.3500,PTH pad 80 [FUEL_PUMP_CONTROL] of J1
12,39.0000,31.8000,"Track [IAC] on F.Cu, length 1.4000 mm",35.0650,2.3500,PTH pad 83 [IAC] of J1
13,39.0000,75.2000,"Track [IAC] on In2.Cu, length 1.0000 mm",39.0000,33.2000,"Track [IAC] on F.Cu, length 2.9867 mm"
14,93.2000,23.5000,"Track [INJECTOR_1] on In2.Cu, length 0.8485 mm",38.6000,111.0000,"Track [INJECTOR_1] on In1.Cu, length 0.2828 mm"
15,59.9000,16.3000,"Track [INJECTOR_2] on F.Cu, length 0.1414 mm",45.5000,23.6000,"Track [INJECTOR_2] on F.Cu, length 10.7480 mm"
16,104.0500,17.0000,"Track [INJECTOR_3] on B.Cu, length 0.8485 mm",81.1000,43.2000,"Track [INJECTOR_3] on In2.Cu, length 5.7983 mm"
